row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
86,T0093,475207-59-1,C21H16ClF3N4O3·C7H8O3S,637.03,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,sanitized
87,T0093L,284461-73-0,C21H16ClF3N4O3,464.82,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,sanitized
88,T0094,51333-22-3,C25H34O6,430.53,[H][C@@]12C[C@@]3([H])OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@@]21C,sanitized
89,T0095,3543-75-7,C16H21Cl2N3O2·HCl,394.72,Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,sanitized
90,T0096,224785-90-4,C23H32N6O4S,488.6,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,sanitized
91,T0097,1190378-57-4,C26H36N6O2,464.6,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,sanitized
92,T0097L,444731-52-6,C21H23N7O2S,437.52,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,sanitized
93,T0098,66985-17-9,C20H32BrNO4,430.38,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-],sanitized
94,T0099,124937-52-6,C22H31NO·C4H6O6,475.58,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,sanitized
95,T0100,229975-97-7,C38H52N6O7·H2SO4,802.93,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,sanitized
96,T0100L,198904-31-3,C38H52N6O7,704.86,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,sanitized
97,T0101,77883-43-3,C24H29N5O8S,547.58,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,sanitized
98,T0103,64019-93-8,C19H27NO5·HCl,387.9,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1.Cl,sanitized
99,T0104,131707-23-8,C22H25BrN2O3S·HCl,513.88,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12.Cl,sanitized
100,T0106,554-57-4,C5H8N4O3S2,236.27,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,sanitized
101,T0107,3093-35-4,C24H32ClFO5,454.96,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,sanitized
102,T0108,28395-03-1,C17H20N2O5S,364.42,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,sanitized
103,T0109,25717-80-0,C9H14N4O4,242.23,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,sanitized
104,T0110,7481-89-2,C9H13N3O3,211.22,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,sanitized
105,T0111,242478-38-2,C23H26N2O2·C4H6O4,480.56,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,sanitized
106,T0112,33286-22-5,C22H27ClN2O4S,450.98,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,sanitized
107,T0113,6153-33-9,C19H20N2·1/2C10H8O6S2,420.52,CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1.CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1.O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,sanitized
108,T0114,133-67-5,C8H8Cl3N3O4S2,380.66,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,sanitized
109,T0115,79944-56-2,C11H12N2O2·HCl,240.69,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2,sanitized
110,T0117,94055-76-2,C23H33NO7S2,499.64,CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,sanitized
111,T0118,108612-45-9,C24H25FN6O,432.49,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,sanitized
112,T0119,39562-70-4,C18H20N2O6,360.36,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,sanitized
113,T0120,137234-62-9,C16H14F3N5O,349.31,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,sanitized
114,T0121,123524-52-7,C33H34N4O6,582.65,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,sanitized
115,T0122,477-90-7,C14H16O9,328.27,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,sanitized
116,T0123,63-74-1,C6H8N2O2S,172.2,Nc1ccc(S(N)(=O)=O)cc1,sanitized
