final_rank	TargetMol_ID	node_name	consensus_rank_percentile_mean	kg_score_mean	z	GPS_score_zRGES_like_lower_better
54	T1558	Resveratrol	0.5750000000000001	0.7739324174000001	-1.508634472627452	-0.0097380246135406
55	T3015	Olaparib	0.5750000000000001	0.7188085686	-1.4961949894705124	-0.2877359947079501
56	T1537	Sirolimus	0.5916666666666667	0.7499854562	-1.069513786243955	-0.5072902558885679
57	T1485	Methotrexate	0.5916666666666667	0.6887947771000001	-1.8650278502091848	-0.1122572159098075
58	T2125	Trametinib	0.5916666666666667	0.6759485145999998	-1.252682268584247	-0.9052932875982012
59	T21340	Pergolide	0.5958333333333333	0.6825060344999998	-0.4583111190894329	-1.2889623756051896
60	T0393	Anastrozole	0.6	0.7806451064	-0.2060312389337631	-1.2889623756051896
61	T3S0209	Vincristine	0.6	0.6490091649000002	-1.813876642642412	-0.388997082438711
62	T3211	Midostaurin	0.6124999999999999	0.7009695700999999	-0.2229133804120572	-1.840613486319349
63	T60736	Warfarin	0.6166666666666667	0.6170690298	-0.6770852530905362	-1.2889623756051896
64	T6651L	Safinamide	0.625	0.7962584508	-0.418634455581541	-0.7242605819408333
65	T3278	Piribedil	0.6291666666666665	0.726424644	-0.2597601201782122	-1.2889623756051896
66	T2586	Cabozantinib	0.6333333333333333	0.9660797509	-0.146846093762304	-0.1329393251849042
67	T2216	Entacapone	0.6416666666666666	0.6029741263	-0.07330508722008	-2.298794022236634
68	T0476	Spironolactone	0.6458333333333334	0.7455451766	-0.061563452297791	-1.4747599196537522
69	T2383	Panobinostat	0.65	0.5771617333	-0.1567186529346836	-2.4596680661233474
70	T0379	Risedronic Acid	0.6666666666666666	0.7769422988999999	-0.3556690786249127	-0.7242605819408333
71	T6795	Carbidopa	0.6833333333333332	0.7679879911	-0.3336532606281308	-0.749244319935688
72	T2456	Tivozanib	0.6875	0.9026342309999998	-0.0496934417383124	-0.2637279309153592
73	T2548	Diflorasone	0.7000000000000001	0.5800815443	-0.2958158748440156	-1.2889623756051896
74	T2407	Tiagabine	0.7458333333333332	0.7184560053	-0.2151342632411337	-0.939799064895262
75	T0132	Etoposide	0.7541666666666668	0.7418789389999999	-0.252738628356672	-0.585975103167165
76	T7939	Fingolimod	0.7541666666666668	0.6952325166	-0.443110627872045	-0.461654131435035
77	T7469	Alendronic Acid	0.7541666666666668	0.5648893199999998	-1.2332006452869049	-0.0240262180042857
78	T0949	Tranexamic acid	0.7833333333333333	0.5913735741	-0.7924810429031508	-0.0194255862719631
79	T21405	Fluvastatin	0.85	0.6279423303	-0.262252826784737	-0.1686472077753297
80	T1120	Dacarbazine	0.9416666666666668	0.5845108263000001	-0.1019939700843231	-0.0514209240409776
